5	33654973
12	20645578
14	66189388
X	123437045
6	49025787
2	210980552
2	128326152
1	222610770
6	164293711
7	7503246
12	38728177
10	4220748
3	101778305
7	18260686
17	62730677
3	98006933
X	8443434
17	44155078
10	131769787
7	92008474
16	44029380
19	58075555
15	55950256
2	194401958
3	98856714
1	217918458
11	51552174
4	79307047
17	28800308
12	53474238
12	13609930
15	77307762
17	46673468
Y	2722526
6	35863991
18	25842372
10	54821618
8	115633032
2	54016790
5	155903928
3	174273516
13	43916104
X	144932929
12	11771219
8	89796794
11	42208482
3	100898970
17	21458617
X	32716619
2	15857964
3	174863778
12	39382543
12	53796494
2	30092526
4	154745502
2	155790708
14	63160889
2	27921553
3	53084749
5	179964827
7	60848136
6	154044939
13	33511750
17	71138073
1	212984425
9	36174097
13	14184248
5	94050372
6	100600310
10	84950526
14	33969311
8	50379909
13	30195861
2	11977477
17	26010989
6	16962150
7	133022870
1	92458564
8	136104029
17	65778387
4	87749755
17	58400554
7	7003055
2	165791858
7	84911653
14	1849424
3	96322731
10	89174224
20	43000329
19	47691587
12	62205637
X	18263028
4	185592892
X	98915034
4	156079676
11	26976710
6	79504454
20	11174137
18	45561353
3	44503511
16	32543227
4	30654271
12	48043994
2	173900478
7	57847689
13	103503701
3	122441579
1	24902137
18	76876832
1	32618320
18	5635348
11	65435425
2	234274956
2	168569713
Y	33077187
13	47458973
2	112647691
11	46586595
7	158557704
8	45992453
12	9185616
10	47261458
13	67684296
5	37483655
6	1808367
3	147824168
2	50538115
Y	57629188
1	189485979
Y	54338842
6	5280409
13	51512051
5	307925
Y	13380842
9	54239407
6	90248780
10	6910557
2	147856339
2	84832289
4	137833820
5	82574819
7	102901041
Y	10097202
10	116913105
4	113630439
7	66304846
15	23437583
3	187775972
18	9892136
15	77960619
4	163538264
2	209408066
19	49155968
17	1380816
19	4979478
13	113729528
5	107476613
13	3533503
4	23226238
5	2314781
7	157753742
2	218223307
4	110261966
20	61357379
7	12113285
18	19063249
8	16998276
22	21030806
15	54814317
13	55788622
1	85267249
22	45009286
20	1536879
7	116252633
1	51769823
12	59150595
13	16164142
1	111737121
11	89333334
17	732267
15	80298933
11	60372665
1	235672803
3	46094738
15	46882775
15	31357268
13	62684819
3	139074725
14	67309181
2	198359372
17	74854583
12	71005894
12	99299525
2	19888139
2	194265191
X	37052100
7	155168130
6	28861440
16	41574841
7	78767473
11	86000891
5	146654806
4	179456290
15	39428919
19	42279353
22	13956919
18	21577525
7	4347352
8	108915813
8	86668049
15	19631215
11	70870270
3	70295614
8	119478923
X	61270761
21	40477943
12	109518993
2	201601688
8	118564790
8	3122080
10	61738753
5	112958030
14	10027556
14	73434924
3	13301836
19	43225345
13	6278925
1	97687249
4	177020492
9	78845567
Y	50430231
22	5519478
9	128612576
6	1634009
12	67630540
X	109329066
13	111183528
3	106541428
11	99147879
16	70945523
10	52856685
2	205097938
9	139708482
17	37261382
12	46865754
11	95122019
6	17010856
1	63263437
15	101405774
5	79620768
8	104348304
X	149985136
6	167334534
7	94849699
2	233413832
8	89435702
5	157364094
12	26551683
8	121586983
2	122024443
5	77445045
5	90467748
2	67177571
3	176707429
5	65347764
1	228017407
1	14411010
10	132760638
6	124063358
4	110325655
10	6901387
8	65396392
10	77503877
3	47543810
20	62486808
12	89785599
5	78028718
19	9317990
20	15729280
14	18211979
1	97202647
10	8396376
15	64925537
15	7474989
2	165585694
7	51830077
12	26416527
5	163824564
1	10814666
6	40983817
19	7316564
6	40939258
